------------------------------------------------------------
 Model:        tpxo7
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  mf  mm  m4  ms4 mn4 
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
 
     9.7958  103.4719
                          06.22.2000 13:00:00     0.070  3774.277
                          06.22.2000 14:00:00    -0.031  3774.277
                          06.22.2000 15:00:00    -0.128  3774.277
                          06.22.2000 16:00:00    -0.193  3774.277
                          06.22.2000 17:00:00    -0.206  3774.277
                          06.22.2000 18:00:00    -0.161  3774.277
                          06.22.2000 19:00:00    -0.069  3774.277
                          06.22.2000 20:00:00     0.048  3774.277
                          06.22.2000 21:00:00     0.165  3774.277
                          06.22.2000 22:00:00     0.253  3774.277
                          06.22.2000 23:00:00     0.293  3774.277
                          06.23.2000 00:00:00     0.271  3774.277
                          06.23.2000 01:00:00     0.192  3774.277
                          06.23.2000 02:00:00     0.073  3774.277
                          06.23.2000 03:00:00    -0.059  3774.277
                          06.23.2000 04:00:00    -0.171  3774.277
                          06.23.2000 05:00:00    -0.238  3774.277
                          06.23.2000 06:00:00    -0.249  3774.277
                          06.23.2000 07:00:00    -0.206  3774.277
                          06.23.2000 08:00:00    -0.125  3774.277
                          06.23.2000 09:00:00    -0.027  3774.277
                          06.23.2000 10:00:00     0.064  3774.277
                          06.23.2000 11:00:00     0.126  3774.277
                          06.23.2000 12:00:00     0.145  3774.277
                          06.23.2000 13:00:00     0.116  3774.277
                          06.23.2000 14:00:00     0.049  3774.277
                          06.23.2000 15:00:00    -0.036  3774.277
                          06.23.2000 16:00:00    -0.111  3774.277
                          06.23.2000 17:00:00    -0.154  3774.277
                          06.23.2000 18:00:00    -0.151  3774.277
                          06.23.2000 19:00:00    -0.103  3774.277
                          06.23.2000 20:00:00    -0.021  3774.277
                          06.23.2000 21:00:00     0.075  3774.277
                          06.23.2000 22:00:00     0.165  3774.277
                          06.23.2000 23:00:00     0.227  3774.277
                          06.24.2000 00:00:00     0.245  3774.277
                          06.24.2000 01:00:00     0.213  3774.277
                          06.24.2000 02:00:00     0.134  3774.277
                          06.24.2000 03:00:00     0.026  3774.277
                          06.24.2000 04:00:00    -0.085  3774.277
                          06.24.2000 05:00:00    -0.173  3774.277
                          06.24.2000 06:00:00    -0.221  3774.277
                          06.24.2000 07:00:00    -0.220  3774.277
                          06.24.2000 08:00:00    -0.177  3774.277
                          06.24.2000 09:00:00    -0.104  3774.277
                          06.24.2000 10:00:00    -0.018  3774.277
                          06.24.2000 11:00:00     0.062  3774.277
                          06.24.2000 12:00:00     0.117  3774.277
                          06.24.2000 13:00:00     0.135  3774.277
                          06.24.2000 14:00:00     0.112  3774.277
                          06.24.2000 15:00:00     0.058  3774.277
                          06.24.2000 16:00:00    -0.011  3774.277
                          06.24.2000 17:00:00    -0.071  3774.277
                          06.24.2000 18:00:00    -0.105  3774.277
                          06.24.2000 19:00:00    -0.103  3774.277
                          06.24.2000 20:00:00    -0.067  3774.277
                          06.24.2000 21:00:00    -0.006  3774.277
                          06.24.2000 22:00:00     0.066  3774.277
                          06.24.2000 23:00:00     0.135  3774.277
                          06.25.2000 00:00:00     0.182  3774.277
                          06.25.2000 01:00:00     0.195  3774.277
                          06.25.2000 02:00:00     0.165  3774.277
                          06.25.2000 03:00:00     0.097  3774.277
                          06.25.2000 04:00:00     0.005  3774.277
                          06.25.2000 05:00:00    -0.088  3774.277
                          06.25.2000 06:00:00    -0.163  3774.277
                          06.25.2000 07:00:00    -0.203  3774.277
                          06.25.2000 08:00:00    -0.205  3774.277
                          06.25.2000 09:00:00    -0.169  3774.277
                          06.25.2000 10:00:00    -0.104  3774.277
                          06.25.2000 11:00:00    -0.025  3774.277
                          06.25.2000 12:00:00     0.055  3774.277
                          06.25.2000 13:00:00     0.115  3774.277
                          06.25.2000 14:00:00     0.144  3774.277
                          06.25.2000 15:00:00     0.135  3774.277
                          06.25.2000 16:00:00     0.095  3774.277
                          06.25.2000 17:00:00     0.037  3774.277
                          06.25.2000 18:00:00    -0.021  3774.277
                          06.25.2000 19:00:00    -0.062  3774.277
                          06.25.2000 20:00:00    -0.077  3774.277
                          06.25.2000 21:00:00    -0.065  3774.277
                          06.25.2000 22:00:00    -0.027  3774.277
                          06.25.2000 23:00:00     0.028  3774.277
                          06.26.2000 00:00:00     0.087  3774.277
                          06.26.2000 01:00:00     0.134  3774.277
                          06.26.2000 02:00:00     0.154  3774.277
                          06.26.2000 03:00:00     0.138  3774.277
                          06.26.2000 04:00:00     0.085  3774.277
                          06.26.2000 05:00:00     0.008  3774.277
                          06.26.2000 06:00:00    -0.077  3774.277
                          06.26.2000 07:00:00    -0.150  3774.277
                          06.26.2000 08:00:00    -0.197  3774.277
                          06.26.2000 09:00:00    -0.209  3774.277
                          06.26.2000 10:00:00    -0.183  3774.277
                          06.26.2000 11:00:00    -0.123  3774.277
                          06.26.2000 12:00:00    -0.038  3774.277
                          06.26.2000 13:00:00     0.053  3774.277
                          06.26.2000 14:00:00     0.131  3774.277
                          06.26.2000 15:00:00     0.178  3774.277
                          06.26.2000 16:00:00     0.185  3774.277
                          06.26.2000 17:00:00     0.153  3774.277
                          06.26.2000 18:00:00     0.094  3774.277
                          06.26.2000 19:00:00     0.024  3774.277
                          06.26.2000 20:00:00    -0.040  3774.277
                          06.26.2000 21:00:00    -0.083  3774.277
                          06.26.2000 22:00:00    -0.097  3774.277
                          06.26.2000 23:00:00    -0.078  3774.277
                          06.27.2000 00:00:00    -0.030  3774.277
                          06.27.2000 01:00:00     0.034  3774.277
                          06.27.2000 02:00:00     0.095  3774.277
                          06.27.2000 03:00:00     0.134  3774.277
                          06.27.2000 04:00:00     0.136  3774.277
                          06.27.2000 05:00:00     0.098  3774.277
                          06.27.2000 06:00:00     0.026  3774.277
                          06.27.2000 07:00:00    -0.061  3774.277
                          06.27.2000 08:00:00    -0.146  3774.277
                          06.27.2000 09:00:00    -0.208  3774.277
                          06.27.2000 10:00:00    -0.234  3774.277
                          06.27.2000 11:00:00    -0.214  3774.277
                          06.27.2000 12:00:00    -0.148  3774.277
                          06.27.2000 13:00:00    -0.048  3774.277
                          06.27.2000 14:00:00     0.067  3774.277
                          06.27.2000 15:00:00     0.169  3774.277
                          06.27.2000 16:00:00     0.236  3774.277
                          06.27.2000 17:00:00     0.253  3774.277
                          06.27.2000 18:00:00     0.219  3774.277
                          06.27.2000 19:00:00     0.145  3774.277
                          06.27.2000 20:00:00     0.048  3774.277
                          06.27.2000 21:00:00    -0.048  3774.277
                          06.27.2000 22:00:00    -0.122  3774.277
                          06.27.2000 23:00:00    -0.157  3774.277
                          06.28.2000 00:00:00    -0.146  3774.277
                          06.28.2000 01:00:00    -0.091  3774.277
                          06.28.2000 02:00:00    -0.008  3774.277
                          06.28.2000 03:00:00     0.078  3774.277
                          06.28.2000 04:00:00     0.139  3774.277
                          06.28.2000 05:00:00     0.158  3774.277
                          06.28.2000 06:00:00     0.126  3774.277
                          06.28.2000 07:00:00     0.050  3774.277
                          06.28.2000 08:00:00    -0.052  3774.277
                          06.28.2000 09:00:00    -0.157  3774.277
                          06.28.2000 10:00:00    -0.239  3774.277
                          06.28.2000 11:00:00    -0.275  3774.277
                          06.28.2000 12:00:00    -0.252  3774.277
                          06.28.2000 13:00:00    -0.170  3774.277
                          06.28.2000 14:00:00    -0.043  3774.277
                          06.28.2000 15:00:00     0.101  3774.277
                          06.28.2000 16:00:00     0.228  3774.277
                          06.28.2000 17:00:00     0.309  3774.277
                          06.28.2000 18:00:00     0.327  3774.277
                          06.28.2000 19:00:00     0.278  3774.277
                          06.28.2000 20:00:00     0.176  3774.277
                          06.28.2000 21:00:00     0.044  3774.277
                          06.28.2000 22:00:00    -0.087  3774.277
                          06.28.2000 23:00:00    -0.187  3774.277
                          06.29.2000 00:00:00    -0.233  3774.277
                          06.29.2000 01:00:00    -0.215  3774.277
                          06.29.2000 02:00:00    -0.139  3774.277
                          06.29.2000 03:00:00    -0.029  3774.277
                          06.29.2000 04:00:00     0.085  3774.277
                          06.29.2000 05:00:00     0.167  3774.277
                          06.29.2000 06:00:00     0.195  3774.277
                          06.29.2000 07:00:00     0.160  3774.277
                          06.29.2000 08:00:00     0.068  3774.277
                          06.29.2000 09:00:00    -0.058  3774.277
                          06.29.2000 10:00:00    -0.186  3774.277
                          06.29.2000 11:00:00    -0.284  3774.277
                          06.29.2000 12:00:00    -0.322  3774.277
                          06.29.2000 13:00:00    -0.285  3774.277
                          06.29.2000 14:00:00    -0.176  3774.277
                          06.29.2000 15:00:00    -0.018  3774.277
                          06.29.2000 16:00:00     0.155  3774.277
                          06.29.2000 17:00:00     0.301  3774.277
                          06.29.2000 18:00:00     0.386  3774.277
                          06.29.2000 19:00:00     0.391  3774.277
                          06.29.2000 20:00:00     0.316  3774.277
                          06.29.2000 21:00:00     0.178  3774.277
                          06.29.2000 22:00:00     0.009  3774.277
                          06.29.2000 23:00:00    -0.151  3774.277
     2.0210   72.2950
                          06.21.2000 00:00:00    -0.023  3615.929
                          06.21.2000 01:00:00    -0.156  3615.929
                          06.21.2000 02:00:00    -0.287  3615.929
                          06.21.2000 03:00:00    -0.379  3615.929
                          06.21.2000 04:00:00    -0.404  3615.929
                          06.21.2000 05:00:00    -0.351  3615.929
                          06.21.2000 06:00:00    -0.230  3615.929
                          06.21.2000 07:00:00    -0.066  3615.929
                          06.21.2000 08:00:00     0.107  3615.929
                          06.21.2000 09:00:00     0.257  3615.929
                          06.21.2000 10:00:00     0.354  3615.929
                          06.21.2000 11:00:00     0.381  3615.929
                          06.21.2000 12:00:00     0.335  3615.929
                          06.21.2000 13:00:00     0.231  3615.929
                          06.21.2000 14:00:00     0.096  3615.929
                          06.21.2000 15:00:00    -0.034  3615.929
                          06.21.2000 16:00:00    -0.126  3615.929
                          06.21.2000 17:00:00    -0.162  3615.929
                          06.21.2000 18:00:00    -0.141  3615.929
                          06.21.2000 19:00:00    -0.078  3615.929
                          06.21.2000 20:00:00     0.002  3615.929
                          06.21.2000 21:00:00     0.072  3615.929
                          06.21.2000 22:00:00     0.108  3615.929
                          06.21.2000 23:00:00     0.097  3615.929
                          06.22.2000 00:00:00     0.035  3615.929
                          06.22.2000 01:00:00    -0.067  3615.929
                          06.22.2000 02:00:00    -0.184  3615.929
                          06.22.2000 03:00:00    -0.285  3615.929
                          06.22.2000 04:00:00    -0.340  3615.929
                          06.22.2000 05:00:00    -0.330  3615.929
                          06.22.2000 06:00:00    -0.252  3615.929
                          06.22.2000 07:00:00    -0.122  3615.929
                          06.22.2000 08:00:00     0.033  3615.929
                          06.22.2000 09:00:00     0.181  3615.929
                          06.22.2000 10:00:00     0.295  3615.929
                          06.22.2000 11:00:00     0.353  3615.929
                          06.22.2000 12:00:00     0.345  3615.929
                          06.22.2000 13:00:00     0.277  3615.929
                          06.22.2000 14:00:00     0.165  3615.929
                          06.22.2000 15:00:00     0.038  3615.929
                          06.22.2000 16:00:00    -0.072  3615.929
                          06.22.2000 17:00:00    -0.140  3615.929
                          06.22.2000 18:00:00    -0.155  3615.929
                          06.22.2000 19:00:00    -0.122  3615.929
                          06.22.2000 20:00:00    -0.059  3615.929
                          06.22.2000 21:00:00     0.011  3615.929
                          06.22.2000 22:00:00     0.065  3615.929
                          06.22.2000 23:00:00     0.086  3615.929
                          06.23.2000 00:00:00     0.065  3615.929
                          06.23.2000 01:00:00     0.003  3615.929
                          06.23.2000 02:00:00    -0.086  3615.929
                          06.23.2000 03:00:00    -0.178  3615.929
                          06.23.2000 04:00:00    -0.248  3615.929
                          06.23.2000 05:00:00    -0.270  3615.929
                          06.23.2000 06:00:00    -0.236  3615.929
                          06.23.2000 07:00:00    -0.148  3615.929
                          06.23.2000 08:00:00    -0.025  3615.929
                          06.23.2000 09:00:00     0.107  3615.929
                          06.23.2000 10:00:00     0.224  3615.929
                          06.23.2000 11:00:00     0.301  3615.929
                          06.23.2000 12:00:00     0.326  3615.929
                          06.23.2000 13:00:00     0.295  3615.929
                          06.23.2000 14:00:00     0.215  3615.929
                          06.23.2000 15:00:00     0.105  3615.929
                          06.23.2000 16:00:00    -0.008  3615.929
                          06.23.2000 17:00:00    -0.099  3615.929
                          06.23.2000 18:00:00    -0.149  3615.929
                          06.23.2000 19:00:00    -0.152  3615.929
                          06.23.2000 20:00:00    -0.116  3615.929
                          06.23.2000 21:00:00    -0.058  3615.929
                          06.23.2000 22:00:00     0.003  3615.929
                          06.23.2000 23:00:00     0.048  3615.929
                          06.24.2000 00:00:00     0.064  3615.929
                          06.24.2000 01:00:00     0.046  3615.929
                          06.24.2000 02:00:00    -0.003  3615.929
                          06.24.2000 03:00:00    -0.071  3615.929
                          06.24.2000 04:00:00    -0.136  3615.929
                          06.24.2000 05:00:00    -0.178  3615.929
                          06.24.2000 06:00:00    -0.181  3615.929
                          06.24.2000 07:00:00    -0.139  3615.929
                          06.24.2000 08:00:00    -0.058  3615.929
                          06.24.2000 09:00:00     0.044  3615.929
                          06.24.2000 10:00:00     0.148  3615.929
                          06.24.2000 11:00:00     0.232  3615.929
                          06.24.2000 12:00:00     0.280  3615.929
                          06.24.2000 13:00:00     0.282  3615.929
                          06.24.2000 14:00:00     0.237  3615.929
                          06.24.2000 15:00:00     0.155  3615.929
                          06.24.2000 16:00:00     0.053  3615.929
                          06.24.2000 17:00:00    -0.048  3615.929
                          06.24.2000 18:00:00    -0.125  3615.929
                          06.24.2000 19:00:00    -0.164  3615.929
                          06.24.2000 20:00:00    -0.164  3615.929
                          06.24.2000 21:00:00    -0.130  3615.929
                          06.24.2000 22:00:00    -0.075  3615.929
                          06.24.2000 23:00:00    -0.017  3615.929
                          06.25.2000 00:00:00     0.030  3615.929
                          06.25.2000 01:00:00     0.054  3615.929
                          06.25.2000 02:00:00     0.052  3615.929
                          06.25.2000 03:00:00     0.025  3615.929
                          06.25.2000 04:00:00    -0.019  3615.929
                          06.25.2000 05:00:00    -0.062  3615.929
                          06.25.2000 06:00:00    -0.090  3615.929
                          06.25.2000 07:00:00    -0.089  3615.929
                          06.25.2000 08:00:00    -0.056  3615.929
                          06.25.2000 09:00:00     0.005  3615.929
                          06.25.2000 10:00:00     0.080  3615.929
                          06.25.2000 11:00:00     0.154  3615.929
                          06.25.2000 12:00:00     0.211  3615.929
                          06.25.2000 13:00:00     0.239  3615.929
                          06.25.2000 14:00:00     0.229  3615.929
                          06.25.2000 15:00:00     0.181  3615.929
                          06.25.2000 16:00:00     0.102  3615.929
                          06.25.2000 17:00:00     0.007  3615.929
                          06.25.2000 18:00:00    -0.086  3615.929
                          06.25.2000 19:00:00    -0.158  3615.929
                          06.25.2000 20:00:00    -0.196  3615.929
                          06.25.2000 21:00:00    -0.197  3615.929
                          06.25.2000 22:00:00    -0.164  3615.929
                          06.25.2000 23:00:00    -0.107  3615.929
                          06.26.2000 00:00:00    -0.041  3615.929
                          06.26.2000 01:00:00     0.022  3615.929
                          06.26.2000 02:00:00     0.068  3615.929
                          06.26.2000 03:00:00     0.091  3615.929
