id,lat,lon,name,status,country,location
2015,41.18500137,-8.703300476,Leixoes (IPMA),active,Portugal,
2017,39.95100021,-8.892000198,Peniche (IPMA),active,Portugal,
2016,37.73759842,-25.6616993,Ponte Delgada (IPMA),active,Portugal,
2018,36.94499969,-25.14830017,Santa Maria (IPMA),active,Portugal,
2020,37.94499969,-8.892000198,Sines (IPMA),active,Portugal,
1837,43.62477112,13.50652027,Italy - Ancona (ISPRA),active,Italy ,
2556,43.62477112,13.50652027,Italy - Ancona (TEST),active,Italy ,
1838,41.44686127,12.63479996,Italy - Anzio (ISPRA),active,Italy ,
1839,41.1402092,16.86602974,Italy - Bari (ISPRA),active,Italy ,
1840,39.21018982,9.114272118,Italy - Cagliari (ISPRA),active,Italy ,
1841,39.14796829,8.309453011,Italy - Carloforte (ISPRA),active,Italy ,
1842,37.49808121,15.09383011,Italy - Catania (ISPRA),active,Italy ,
1843,42.09395981,11.78964996,Italy - Civitavecchia (ISPRA),active,Italy ,
1844,39.08358002,17.13706017,Italy - Crotone (ISPRA),active,Italy ,
1845,41.20999146,13.5897398,Italy - Gaeta (ISPRA),active,Italy ,
1846,44.41012955,8.925517082,Italy - Genova (ISPRA),active,Italy ,
1847,38.78517914,15.19077015,Italy - Ginostra (ISPRA),active,Italy ,
1848,43.87834167,8.018863678,Italy - Imperia (ISPRA),active,Italy ,
1849,42.11888123,15.50156975,Italy - Isole Tremiti (ISPRA),active,Italy ,
1850,44.09661102,9.857644081,Italy - La Spezia (ISPRA),active,Italy ,
1851,35.49982834,12.60443974,Italy - Lampedusa (ISPRA),active,Italy ,
1852,43.54629135,10.29934025,Italy - Livorno (ISPRA),active,Italy ,
1853,42.74263,10.23832989,Italy - Marina di Campo (ISPRA),active,Italy ,
1854,38.19631958,15.56350994,Italy - Messina (ISPRA),active,Italy ,
1855,40.84140015,14.26918983,Italy - Napoli (ISPRA),active,Italy ,
1856,42.35589981,14.41485977,Italy - Ortona (ISPRA),active,Italy ,
2555,42.36999893,14.43000031,Italy - Ortona (TEST),active,Italy ,
1857,40.14714813,18.49708939,Italy - Otranto (ISPRA),active,Italy ,
1858,38.12141037,13.37133026,Italy - Palermo (ISPRA),active,Italy ,
1859,40.02991104,15.27528954,Italy - Palinuro (ISPRA),active,Italy ,
1860,40.89517975,12.96558952,Italy - Ponza (ISPRA),active,Italy ,
1861,37.28575897,13.52684021,Italy - Porto Empedocle (ISPRA),active,Italy ,
1862,40.84220886,8.403912544,Italy - Porto Torres (ISPRA),active,Italy ,
1863,44.49205017,12.2827301,Italy - Ravenna (ISPRA),active,Italy ,
1864,38.12171936,15.64892006,Italy - Reggio Calabria (ISPRA),active,Italy ,
1865,40.67663956,14.75084019,Italy - Salerno (ISPRA),active,Italy ,
1866,42.95512009,13.88976002,Italy - San Benedetto del Tronto (ISPRA),active,Italy ,
2557,42.95512009,13.88976002,Italy - San Benedetto del Tronto (TEST),active,Italy ,
1867,37.50453949,13.07645988,Italy - Sciacca (ISPRA),active,Italy ,
2026,38.81728363,15.25179005,Italy - Strombolicchio (ISPRA),active,Italy ,
1868,40.4756012,17.2237606,Italy - Taranto (ISPRA),active,Italy ,
1869,45.64939117,13.75794029,Italy - Trieste (ISPRA),active,Italy ,
1870,45.41822052,12.42652988,Italy - Venezia (ISPRA),active,Italy ,
2570,45.41822052,12.42652988,Italy - Venezia (ISPRA) TEST,active,Italy ,
