Code,GLOSS ID,Country,Location,Connection,DCP ID,Last observation,,Delay,Transmit,View
,,,,,,Level    Time in GMT,,,Interval,
said,,Morocco,Saidia Marina,bgan,SAID,0.33,14:18,23',1',  [open]  
saig,,Japan,Saigo,SWJP40,SAIGO,2.32,14:29,12',10',  [open]  
sain,,France,Saint-Nazaire,ftp,,2.47,14:32,8',5',  [open]  
saip,118,USA,Saipan,SWMY40,6506468,7.24,14:30,11',6',  [open]  
sala,4,Oman,Salalah,SXXX33,1605C096,1.67,12:33,2h,6',  [open]  
sali,,Mexico,"Salina Cruz, Oax.",ftp,,1.54,07/05/2016 22:58,122d,10',  [open]  
sali2,,Mexico,"Salina Cruz, Oax.",SOMX10,0103703C,1.38,14:21,20',5',  [open]  
salv,334,Brasil,Salvador (Capitania dos Portos da Bahia),SEPA40,354052D4,6.77,14:31,10',5',  [open]  
sama,,Colombia,Santa Marta,SEPO40,35419530,6.35,14:30,11',5',  [open]  
san2,,Spain,Santander,ftp,,2.39,14:32,9',4',  [open]  
sana,,Colombia,San Andres,SEPO40,35418646,5.37,14:30,11',5',  [open]  
sanf,177,Chile,San Felix,SXCH40,ADC0A6C6,5.39,14:28,13',5',  [open]  
sanf3,,Chile,San Felix,web,,5.46,14:35,5',5',  [open]  
sanj,206,USA,San Juan,web,335CA19E,0.41,14:29,12',6',  [open]  
sanj2,206,USA,San Juan,SXXX03,335CA19E,-3.3,14:22,19',6',  [open]  
sano,,Chile,San Antonio,SXCH40,1401F372,4.78,14:30,11',5',  [open]  
sano2,,Chile,San Antonio,web,,4.82,14:35,5',5',  [open]  
sant,,Ecuador,"SantaCruz,Galapagos",SEEQ40,932085F0,6.42,14:31,10',5',  [open]  
sapz,,Colombia,Sapzurro,ftp,,0.94,14:10,31',5',  [open]  
sapz2,,Colombia,Sapzurro,SXCO41,15A045F2,0.09,14:29,12',5',  [open]  
sass,,Germany,Sassnitz,web,,5.12,14:33,8',5',  [open]  
saum,,Indonesia,Saumlaki,SZID41,6503414,5.08,14:32,9',15',  [open]  
SB36,,Italy,S.Benedetto Del Tronto,ftp,,0.19,14:34,7',5',  [open]  
sbea,157,USA,South Beach,web,3368974E,1.13,14:28,13',6',  [open]  
sbea2,157,USA,South Beach,SXXX03,3368974E,-4.75,14:27,14',6',  [open]  
SC43,,Italy,Sciacca,ftp,,0.07,14:34,7',5',  [open]  
scar,,Trinidad & Tobago,Scarborough,SOTD10,A9C0352C,-999,13/08/2016 21:33,24d,1h,  [open]  
scoa,,France,Socoa,ftp,,2.04,14:32,8',4',  [open]  
scoa2,,France,Socoa2,SZFR01,FR095,2.02,14:30,11',6',  [open]  
scor,315,Denmark,"Ittoqqortoormiit, Scoresbysund",email,,0.15,14:32,8',5',  [open]  
sdom,,Dominican Republic,Santo Domingo/p.San Andres,SXDR40,3341059E,-2.93,05/09/2016 17:59,21h,6',  [open]  
sdpr,,UK,Sandown Pier,web,,1.7,14:39,1',0.1666',  [open]  
sdpt,100,USA,Sand Point,web,3.36E+13,1.74,14:28,13',6',  [open]  
sdpt2,100,USA,Sand Point,SXXX03,3.36E+13,-3.78,14:27,14',6',  [open]  
sebla,,Indonesia,Seblat,SXXX33,229457FE,0.01,29/11/2015 19:08,282d,15',  [open]  
sema,,Indonesia,Semarang,SZID53,,1.03,14:33,8',15',  [open]  
sete,,France,Sète,ftp,,0.4,14:32,8',5',  [open]  
sete2,,France,Sete 2,SZFR01,FR250,0.4,14:28,13',6',  [open]  
setp1,211,Bahamas,Settlement pt,SEPO40,3543234A,3.32,14:31,10',10',  [open]  
setu,,Portugal,Setubal,bgan,SETU,2.58,14:19,22',1',  [open]  
sev2,,Spain,Sevilla,ftp,,-0.23,14:26,15',4',  [open]  
sewa,150,USA,Seward,web,335FC376,2.33,14:27,14',6',  [open]  
sewa2,150,USA,Seward,SXXX03,335FC376,-5.49,14:26,15',6',  [open]  
shee,,UK,Sheerness,ftp,,4.69,13:45,56',15',  [open]  
shen,,China,Shenzhen,SZCI01,9733,2.18,14:29,12',5',  [open]  
sibo,,Indonesia,Sibolga,SZID46,0650BCD2,2.39,14:35,6',15',  [open]  
sitin,268,South-Africa,Simon's Town,SXXX33,22306108,0.25,20/03/2015 19:11,536d,15',  [open]  
sitk,154,USA,Sitka,web,33625302,0.61,26/07/2016 06:43,42d,6',  [open]  
sitk2,154,USA,Sitka,SXXX03,33625302,-6.25,26/07/2016 06:42,42d,6',  [open]  
sitt,37,Myanmar,Sittwe,SZBM41,0650C490,3.95,14:30,11',6',  [open]  
smar,,France,Sainte Marie (Reunion island),SZIO01,FR832,0.49,29/07/2016 07:00,39d,15',  [open]  
smar2,,France,Sainte Marie (Reunion island) 2,ftp,,0.5,14:31,9',5',  [open]  
smog,,Sweden,Smogen,ftp,,5.74,12:55,2h,1h,  [open]  
sole,,France,Solenzara,ftp,,0.6,14:33,7',5',  [open]  
sole2,,France,Solenzara2,SZFR01,FR710,0.59,14:30,11',6',  [open]  
solo,66,Solomon Islands,Honiara,SZPS01,56670,0.54,14:35,6',3',  [open]  
sosu,,Russia,Sosunovo,web,,2.5,14:28,13',10',  [open]  
sove,,Russia,Sovetskaja Gavan',web,,0.89,15/01/2016 00:14,236d,10',  [open]  
spmi,,France,"Saint Pierre et Miquelon, Canada",ftp,,1.96,14:32,8',5',  [open]  
sprg,56,Australia,Spring Bay,SZAU01,61170,1.24,14:35,6',3',  [open]  
sscr,,UK,Second Severn Crossing,web,,-2.65,14:39,1',0.1666',  [open]  
stan,305,UK,Stanley,SXXX32,269375AE,1.39,14:08,33',15',  [open]  
star,,Russia,Starodubskoe,web,,0.94,22/06/2016 12:44,76d,10',  [open]  
stcr,,USA,St Croix,web,3365B2C4,0.23,14:29,12',6',  [open]  
stcr2,,USA,St Croix,SXXX03,3365B2C4,-3.01,14:28,13',6',  [open]  
sthl,264,Saint-Helena,Saint Helena,SXXX32,26F364EA,,14:21,20',15',  [open]  
sthm,341,Sweden,Stockholm,ftp,,6.98,12:55,2h,1h,  [open]  
stjo,223,Canada,St. Johns,ftp,,1.05,02/09/2016 13:44,4d,6h,  [open]  
stlo2,,Sénégal,StLouis,ftp,,0.33,14/07/2016 03:45,54d,1h,  [open]  
stma,,France,Saint-Malo,ftp,,3.08,14:32,8',5',  [open]  
stma2,,France,Saint-Malo 2,SZFR01,FR410,3.1,14:31,10',6',  [open]  
stmr,,UK,St Marys,ftp,,1.32,13:45,56',15',  [open]  
stmt,,France,Saint Martin Island,SXMF40,12A01F32,0.75,14:31,10',5',  [open]  
stor,238,UK,Stornoway,ftp,,2.36,13:45,56',15',  [open]  
stor2,238,UK,Stornoway (tsunami),socket,,1.78,14:40,0',1',  [open]  
subi,,Philippines,Subic Bay,SXXX33,3226F4BE,5.62,14:31,10',15',  [open]  
sumt,,New Zealand,Christchurch,SZNZ01,SUMT,0.07,04/09/2016 02:43,2d,3',  [open]  
sura,,Indonesia,Surabaya,SZID51,,1.83,14:31,10',15',  [open]  
suro,,Oman,Sur,SXOM33,188263EC,0.13,14:33,8',6',  [open]  
swpr,,UK,Swanage Pier,web,,0.41,14:39,1',0.1666',  [open]  
syow,95,Antarctica,Syowa,web,,8.29,12:55,2h,1h,  [open]  
syro,,Greece,Syros,ftp,,0.7,14:30,11',3',  [open]  
TA18,,Italy,Taranto,ftp,,-0.05,14:34,7',5',  [open]  
tala,,Perú,Talara,SEPO40,35414358,1.56,14:30,11',5',  [open]  
talc,,Chile,Talcahuano,SXCH40,ADC0C320,4.59,14:30,11',5',  [open]  
talc2,,Chile,Talcahuano,web,,4.68,14:36,4',5',  [open]  
talt2,,Chile,Taltal,web,,5.51,14:38,3',5',  [open]  
talt3,,Chile,Taltal,web,,5.5,14:35,6',5',  [open]  
tanjo,44,Singapore,Tanjong Pagar,SZSR01,44,1.57,28/01/2015 00:30,588d,18',  [open]  
tara,113,Kiribati,"Betio,Tarawa",SZPA01,67590,1.22,14:35,6',6',  [open]  
tare,,Solomon Islands,Tarekukure Wharf,SZPS01,56363,0.48,14:35,6',3',  [open]  
tari,,Spain,Tarifa,ftp,,0.95,14:32,9',4',  [open]  
tarr,,Spain,Tarragona,ftp,,0.29,14:27,14',4',  [open]  
taut,,New Zealand,Port of Tauranga,SZNZ01,TAUT,4.75,14:34,7',3',  [open]  
tdcu,266,UK,Tristan da Cunha,SXXX32,26BED7DE,1.75,20/06/2016 14:51,78d,15',  [open]  
tela,,Honduras,Tela Harbor,SOHO10,50C45512,9.29,13:00,2h,1h,  [open]  
telc,,Mexico,Telchac,ftp,,1.98,14:15,26',10',  [open]  
telu,,Indonesia,Telukdalam,SXXX33,12E3454E,5.94,16/07/2016 07:26,52d,15',  [open]  
tene,,Spain,Tenerife2,ftp,,2.1,14:32,9',4',  [open]  
tfbc,156,Canada,Tofino,SXAK50,15C3A33C,1.97,14:33,8',5',  [open]  
thev,308,Australia,Thevenard,SZAU01,62000,0.91,14:35,6',3',  [open]  
thio,,New Caledonia,Thio,SZNC44,xxxxxxx,-999,07:36,7h,6',  [open]  
thul,343,Denmark,"Thule, Pituffik",email,,-0.53,14:35,5',5',  [open]  
tnbl,,Indonesia,Tanahbala,SXXX33,12F6B594,4.95,14:24,17',15',  [open]  
toama,,Madagascar,Toamasina,SZIO03,FR041,-999,03/09/2016 02:04,4d,15',  [open]  
tobe,,UK,Tobermory,ftp,,1.52,13:45,56',15',  [open]  
toco2,,Chile,Tocopilla,web,,4.5,14:38,3',5',  [open]  
toco3,,Chile,Tocopilla,web,,4.49,14:35,6',5',  [open]  
tort,,British Virgin Islands,Tortola,SOVI10,B110070A,-2.95,14:28,13',10',  [open]  
tosa,,Japan,Tosashimizu,SWJP40,TOSASHIMIZU,2.56,14:29,12',10',  [open]  
toul,,France,Toulon,ftp,,0.46,14:32,8',5',  [open]  
toul2,,France,Toulon2,SZFR01,FR068,0.46,14:28,13',6',  [open]  
toya,325,Japan,Toyama,SWJP40,TOYAMA,2.45,14:29,12',10',  [open]  
TR22,,Italy,Trieste,ftp,,-0.08,14:34,7',5',  [open]  
treg,321,Norway,Tregde,web,,0.44,13:30,1h,1h,  [open]  
trin,,Sri Lanka,Trinconmalee,SXXX33,322952D4,0.01,13:54,47',15',  [open]  
tubua,,France,Tubuai (Austral Islands - French Polynesia),SEHI40,FFF0073A,0.66,14:36,5',15',  [open]  
tudy,,France,Port-Tudy (Groix island),ftp,,2.41,14:32,8',5',  [open]  
tumc,,Colombia,Tumaco,ftp,,4.21,21/08/2016 13:38,16d,5',  [open]  
tuxp,,Mexico,Tuxpan,ftp,,2.39,14:03,38',10',  [open]  
ugle,,Russia,Uglegorsk,web,,1.5,22/06/2016 12:44,76d,10',  [open]  
ulla,,UK,Ullapool,ftp,,2.53,13:45,56',15',  [open]  
upol,,Samoa,Apia Upolu,SZPS01,66840,0.57,14:35,6',3',  [open]  
ushu,181,Argentina,Ushuaia,SEPO40,334CE50A,6.52,13:49,52',15',  [open]  
util,,Honduras,Utila Island,SOHO10,50CF56BA,0.44,06/06/2016 00:40,93d,1h,  [open]  
vair,,France,Vairao (Tahiti Island - French Polynesia),SEHI40,FAA022BE,0.65,12:59,2h,1h,  [open]  
vale,,Spain,Valencia,ftp,,0.14,14:32,9',4',  [open]  
valp,175,Chile,Valparaiso,SXCH40,35402444,2.87,14:28,13',5',  [open]  
valp2,175,Chile,Valparaiso,web,,2.9,14:35,5',5',  [open]  
vanu,348,Vanuatu,"Port Villa, Vanuatu",SZPS01,57320,0.54,14:35,6',3',  [open]  
vard,323,Norway,Vardø,web,,1.02,13:30,1h,1h,  [open]  
vati,,Fiji Islands,"Vatia, Viti Levu",SZFJ40,91000,0.78,14:36,5',6',  [open]  
VE19,,Italy,Venice,ftp,,0.23,14:34,7',5',  [open]  
vera,212,Mexico,"Veracruz, Ver.",ftp,,1.54,11/04/2016 18:26,148d,10',  [open]  
vera2,212,Mexico,"Veracruz, Ver.",SOMX10,0102A4AE,1.48,23/08/2016 11:55,14d,15',  [open]  
verav,31,India,Veeraval,ftp,42910,1.64,06:48,8h,10',  [open]  
vern,188,Antarctica,Vernadsky - Faraday,SEMS40,3354E632,1.9,28/04/2016 13:54,131d,15',  [open]  
vhbc,,Canada,Vancouver Harbor,SXAK50,CD400D3A,3.24,14:33,8',5',  [open]  
VI12,,Italy,Vieste,ftp,,0.04,14:35,6',5',  [open]  
vibc,,Canada,Victoria Harbor,SXAK50,CD405D46,2.05,14:33,8',5',  [open]  
vieq,,USA,Vieques,web,335CC478,0.24,14:30,11',6',  [open]  
vieq2,,USA,Vieques,SXXX03,335CC478,-3.26,14:23,18',6',  [open]  
vig2,,Spain,Vigo,ftp,,2.02,14:32,9',4',  [open]  
vil2,,Spain,Villagarcia,ftp,,2.13,14:32,9',4',  [open]  
vish,35,India,Visakhapatnam,ftp,43151,1.36,06:55,8h,10',  [open]  
viti,122,Fiji Islands,Suva Viti Levu,SZPS01,67050,0.89,14:35,6',3',  [open]  
vlad,,Russia,Vladivostok,web,,1.63,14:24,17',10',  [open]  
vodo,,Russia,Vodopadnaya,web,,0.81,14:29,12',10',  [open]  
vung,,Viet Nam,Vung Tau,SZVS41,06506ABA,1.83,14:32,9',6',  [open]  
waik,346,Indonesia,Waikelo,SXXX33,32A89288,2.56,14:30,11',15',  [open]  
wait,128,New Zealand,"Waitangi,Chatham",SEPS40,9321E2EC,-999,15/02/2016 14:35,204d,1h,  [open]  
waka,324,Japan,Wakkanai,SWJP40,WAKKANAI,2.26,14:29,12',10',  [open]  
wake,105,USA,Wake,web,33638790,0.26,14:32,9',6',  [open]  
wake2,105,USA,Wake,SXXX03,33638790,-3.41,14:25,16',6',  [open]  
wall,,France,Mata-Utu (Wallis island),SZFW41,0652170C,0.83,14:34,7',6',  [open]  
walvi,314,Namibia,Walvis Bay,SXXX33,362856A6,,07/04/2016 05:29,152d,15',  [open]  
warn,,Germany,Warnemünde,web,,5.12,14:36,5',5',  [open]  
wbhb,,UK,West Bay Harbour,web,,-1.2,14:39,1',0.1666',  [open]  
weym,,UK,Weymouth,ftp,,0.45,13:45,56',15',  [open]  
whbc,,Canada,Winter Harbour,SXAK50,15C385D0,2.09,14:30,11',5',  [open]  
whit,,UK,Whitby,ftp,,1.79,13:45,56',15',  [open]  
wick,,UK,Wick Harbour,ftp,,3.26,13:45,56',15',  [open]  
wlgt,101,New Zealand,Wellington,SZNZ01,WLGT,2.8,14:34,7',3',  [open]  
wlms,,USA,"Bay Waveland Yacht Club, MS",web,33456542,0.58,14:28,13',5',  [open]  
wlms2,,USA,"Bay Waveland Yacht Club, MS",SXXX03,33456542,-8.86,14:27,14',5',  [open]  
wood,,USA,"Woods Hole, MA",web,3340A79C,0.59,14:27,14',5',  [open]  
wood2,,USA,"Woods Hole, MA",SXXX03,3340A79C,-3.61,14:26,15',5',  [open]  
work,,UK,Workington,ftp,,7.49,13:45,56',15',  [open]  
wpwa,,USA,"Westport, WA",web,33632768,1.32,14:29,12',6',  [open]  
wpwa2,,USA,"Westport, WA",SXXX03,33632768,-5.74,10/09/2015 15:25,362d,6',  [open]  
wuda,,Oman,Khawr Wudam,SXOM33,18539268,0.14,14:28,13',6',  [open]  
xish,,China,Xisha,SZCI01,11745,1.48,14:29,12',5',  [open]  
xmas,146,Kiribati,Christmas,SEPA40,3542F7D8,4.1,14:30,11',15',  [open]  
yabu,,USA,"Yabucoa Harbor, PR",SXXX03,3366B5CA,-5.97,14:24,17',6',  [open]  
yaku,,USA,Yakutat,web,3360E578,2.07,14:29,12',6',  [open]  
yaku2,,USA,Yakutat,SXXX03,3360E578,-7.32,14:28,13',6',  [open]  
yapi,119,Micronesia,Yap Island,SWPA41,065012F8,2.1,14:34,7',12',  [open]  
zanz,297,Tanzania,Zanzibar,SXXX33,1605D3E0,4.15,14:28,13',15',  [open]  
zhap,78,China,Zhapo,SZCI01,9731,2.49,14:29,12',1',  [open]  
