ID,Name,Group,Latency,Status,Details,Last Date,Max. Time,Min. Time,lat,lon,status
11,Station 46408 - NW Pacific S AK,DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Mar 2011 00:30,49.630,-169.870,Active
12,Station 46408 - NW Pacific S AK,DART Pacific,0m,,Details, 01 Jan 0001 00:00, 01 Jan 0001 00:00, 01 Jan 0001 00:00,49.630,-169.870,Active
1096,"Station 46409 - 240 NM Southeast of Kodiak, AK",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Mar 2011 00:30,55.301,-148.495,Active
71,"Station 46409 - 240 NM Southeast of Kodiak, AK",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Mar 2011 00:30,55.300,-148.500,Active
72,"Station 46411 - 260 NM Northwest of San Francisco, CA",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Mar 2011 00:30,39.340,-127.007,Active
10,"Station 46413 - East of ADAK, AK",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 08 Jan 2011 00:30,48.860,-175.600,Active
66,Station 51425 - 370 NM NW of Apia,DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 02 Feb 2011 00:30,-9.493,-176.245,Active
1712,Station 55042 - Tasman Sea 2,DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 27 Apr 2011 12:45,-44.853,161.728,Active
1490,Station 56001 - STB Indian Ocean 1,DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Mar 2011 00:30,-13.961,110.004,Active
1491,Station 56003 - STP Indian Ocean 3,DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Mar 2011 02:45,-15.021,117.989,Active
2572,Denmark - Faaborg,DMI,21m,,Details, 09 Apr 2018 11:20, 09 Apr 2018 11:00, 01 Jan 2017 00:20,55.100,10.233,Active
2573,Denmark - Rodbyhavn,DMI,11m,,Details, 09 Apr 2018 11:30, 09 Apr 2018 11:00, 30 May 2016 00:10,54.650,11.350,Active
2574,Denmark -Bagenkop,DMI,11m,,Details, 09 Apr 2018 11:30, 01 Jun 2016 16:50, 30 May 2016 00:10,54.750,10.677,Active
2575,Denmark -Gedser,DMI,11m,,Details, 09 Apr 2018 11:30, 01 Jun 2016 16:50, 30 May 2016 00:10,54.583,11.933,Active
2576,Denmark -Hunderstend,DMI,11m,,Details, 09 Apr 2018 11:30, 28 Aug 2017 10:10, 01 Jan 2010 00:05,55.966,11.843,Active
1620,Lisbona (Press),EURO_WEATHER,0m,,Details, 06 May 2011 04:20, 20 Jan 2014 04:20, 29 Apr 2011 14:50,38.780,-7.900,Active
1619,Lisbona (Temp),EURO_WEATHER,0m,,Details, 06 May 2011 04:20, 20 Jan 2014 04:20, 29 Apr 2011 14:50,38.780,-8.130,Active
2359,Degerby,FMI,0m,,Details, 11 Apr 2018 11:00, 11 Apr 2018 09:00, 09 Jan 2015 19:00,60.030,20.389,Active
2342,Föglö Degerby,FMI,41m,,Details, 09 Apr 2018 11:00, 09 Apr 2018 09:00, 07 Jan 2015 23:00,60.032,20.385,Active
2358,Hamina,FMI,0m,,Details, 11 Apr 2018 11:00, 11 Apr 2018 09:00, 09 Jan 2015 19:00,60.570,27.198,Active
2344,Hamina Pitäjänsaari,FMI,41m,,Details, 09 Apr 2018 11:00, 09 Apr 2018 09:00, 07 Jan 2015 23:00,60.563,27.179,Active
2357,Hanko,FMI,0m,,Details, 11 Apr 2018 11:00, 11 Apr 2018 09:00, 08 Jan 2015 21:00,59.833,22.950,Active
2343,Hanko Pikku Kolalahti,FMI,41m,,Details, 09 Apr 2018 11:00, 09 Apr 2018 09:00, 07 Jan 2015 23:00,59.823,22.977,Active
2356,Helsinki ,FMI,0m,,Details, 11 Apr 2018 11:00, 11 Apr 2018 09:00, 08 Jan 2015 12:00,60.170,24.935,Active
2331,Helsinki Kaivopuisto,FMI,41m,,Details, 09 Apr 2018 11:00, 09 Apr 2018 09:00, 07 Jan 2015 23:00,60.154,24.956,Active
2355,Kaskinen ,FMI,0m,,Details, 11 Apr 2018 11:00, 11 Apr 2018 09:00, 08 Jan 2015 12:00,62.383,21.217,Active
2341,Kaskinen Ådskär,FMI,41m,,Details, 09 Apr 2018 11:00, 09 Apr 2018 09:00, 07 Jan 2015 23:00,62.344,21.215,Active
2348,Kemi ,FMI,0m,,Details, 11 Apr 2018 11:00, 11 Apr 2018 09:00, 08 Jan 2015 12:00,65.696,24.622,Active
2333,Kemi Ajos,FMI,41m,,Details, 09 Apr 2018 11:00, 09 Apr 2018 09:00, 07 Jan 2015 23:00,65.673,24.515,Active
2354,Mäntyluoto ,FMI,0m,,Details, 11 Apr 2018 11:00, 11 Apr 2018 09:00, 08 Jan 2015 12:00,61.583,21.483,Active
2353,Oulu ,FMI,0m,,Details, 11 Apr 2018 11:00, 11 Apr 2018 09:00, 08 Jan 2015 12:00,65.012,25.468,Active
2339,Oulu Toppila,FMI,41m,,Details, 09 Apr 2018 11:00, 09 Apr 2018 09:00, 07 Jan 2015 23:00,65.040,25.418,Active
2347,Pietarsaaren Golf ,FMI,0m,,Details, 11 Apr 2018 11:00, 11 Apr 2018 09:00, 08 Jan 2015 12:00,63.670,22.670,Active
2340,Pietarsaari Leppäluoto,FMI,41m,,Details, 09 Apr 2018 11:00, 09 Apr 2018 09:00, 07 Jan 2015 23:00,63.709,22.690,Active
2345,Pori Mäntyluoto Kallo,FMI,41m,,Details, 09 Apr 2018 11:00, 09 Apr 2018 09:00, 07 Jan 2015 23:00,61.594,21.463,Active
2352,Raahe ,FMI,0m,,Details, 11 Apr 2018 11:00, 11 Apr 2018 09:00, 08 Jan 2015 12:00,64.683,24.483,Active
2330,Raahe Lapaluoto,FMI,41m,,Details, 09 Apr 2018 11:00, 09 Apr 2018 09:00, 07 Jan 2015 23:00,64.666,24.407,Active
2351,Rauma ,FMI,0m,,Details, 11 Apr 2018 11:00, 11 Apr 2018 09:00, 08 Jan 2015 12:00,61.127,21.511,Active
2337,Rauma Ulko-Petäjäs,FMI,41m,,Details, 09 Apr 2018 11:00, 09 Apr 2018 09:00, 07 Jan 2015 23:00,61.134,21.463,Active
2350,Turku ,FMI,0m,,Details, 11 Apr 2018 11:00, 11 Apr 2018 09:00, 08 Jan 2015 12:00,60.451,22.269,Active
2338,Turku Ruissalo Saaronniemi,FMI,41m,,Details, 09 Apr 2018 11:00, 09 Apr 2018 09:00, 07 Jan 2015 23:00,60.428,22.101,Active
2349,Vaasa ,FMI,0m,,Details, 11 Apr 2018 11:00, 11 Apr 2018 09:00, 08 Jan 2015 12:00,63.096,21.616,Active
2336,Vaasa Vaskiluoto,FMI,41m,,Details, 09 Apr 2018 11:00, 09 Apr 2018 09:00, 07 Jan 2015 23:00,63.082,21.571,Active
2541,Ign - Alicante1,Ign,15m,,Details, 09 Apr 2018 11:26, 09 Apr 2018 11:26, 23 Oct 2017 09:11,38.338,-0.478,Active
2551,Ign - Almeria,Ign,15m,,Details, 09 Apr 2018 11:26, 09 Apr 2018 11:26, 15 Oct 2015 00:01,36.832,-2.485,Active
2544,Ign - Coruna,Ign,15m,,Details, 09 Apr 2018 11:26, 09 Apr 2018 11:26, 15 Oct 2015 00:01,43.364,-8.399,Active
2543,Ign - Murcia,Ign,15m,,Details, 09 Apr 2018 11:26, 09 Apr 2018 11:26, 15 Oct 2015 00:01,37.596,-0.974,Active
2545,Ign - Tenerife13,Ign,15m,,Details, 09 Apr 2018 11:26, 09 Apr 2018 11:26, 10 Feb 2016 00:01,28.477,-16.241,Active
1992,USA - Alameda San Francisco Bay_IOOS,IOOS,24m,,Details, 09 Apr 2018 11:17, 09 Apr 2018 10:53, 17 Nov 2012 09:59,37.772,-122.298,Active
1988,USA - Atlantic city_IOOS,IOOS,27m,,Details, 09 Apr 2018 11:14, 09 Apr 2018 10:56, 12 Nov 2012 15:00,39.355,-74.418,Active
1989,USA - Westport_IOOS,IOOS,24m,,Details, 09 Apr 2018 11:17, 09 Apr 2018 10:53, 12 Nov 2012 14:59,46.904,-124.105,Active
1995,USA_Barbuda_IOOS,IOOS,23m,,Details, 09 Apr 2018 11:18, 09 Apr 2018 10:54, 02 Jan 2013 15:02,17.591,-61.821,Active
1997,USA_Christiansted_IOOS,IOOS,24m,,Details, 09 Apr 2018 11:17, 09 Apr 2018 10:53, 02 Jan 2013 15:02,17.750,-64.705,Active
1994,USA_Kwajalein_IOOS,IOOS,27m,,Details, 09 Apr 2018 11:14, 09 Apr 2018 10:56, 12 Mar 2013 21:32,8.732,167.736,Active
1996,USA_Lime Tree Bay_IOOS,IOOS,24m,,Details, 09 Apr 2018 11:17, 09 Apr 2018 10:53, 02 Jan 2013 15:02,17.695,-64.754,Active
1998,USA_Magueyes Island_IOOS,IOOS,25m,,Details, 09 Apr 2018 11:16, 09 Apr 2018 10:52, 02 Jan 2013 15:02,17.970,-67.046,Active
1993,USA_Pago Pago_IOOS,IOOS,21m,,Details, 09 Apr 2018 11:20, 09 Apr 2018 10:57, 06 Jan 2013 01:13,-14.280,-170.690,Active
1837,Italy - Ancona (ISPRA),ISPRA,17m,,Details, 09 Apr 2018 11:24, 09 Apr 2018 11:03, 28 Jun 2012 05:36,43.625,13.507,Active
1841,Italy - Carloforte (ISPRA),ISPRA,17m,,Details, 09 Apr 2018 11:24, 09 Apr 2018 11:03, 28 Jun 2012 05:36,39.148,8.309,Active
1842,Italy - Catania (ISPRA),ISPRA,19m,,Details, 09 Apr 2018 11:22, 09 Apr 2018 11:01, 28 Jun 2012 05:36,37.498,15.094,Active
1843,Italy - Civitavecchia (ISPRA),ISPRA,17m,,Details, 09 Apr 2018 11:24, 09 Apr 2018 11:03, 28 Jun 2012 05:36,42.094,11.790,Active
1846,Italy - Genova (ISPRA),ISPRA,19m,,Details, 09 Apr 2018 11:22, 09 Apr 2018 11:01, 28 Jun 2012 05:36,44.410,8.926,Active
1848,Italy - Imperia (ISPRA),ISPRA,17m,,Details, 09 Apr 2018 11:24, 09 Apr 2018 11:03, 28 Jun 2012 05:36,43.878,8.019,Active
1851,Italy - Lampedusa (ISPRA),ISPRA,18m,,Details, 09 Apr 2018 11:23, 09 Apr 2018 11:03, 28 Jun 2012 05:36,35.500,12.604,Active
1852,Italy - Livorno (ISPRA),ISPRA,17m,,Details, 09 Apr 2018 11:24, 09 Apr 2018 11:03, 28 Jun 2012 05:36,43.546,10.299,Active
1853,Italy - Marina di Campo (ISPRA),ISPRA,20m,,Details, 09 Apr 2018 11:21, 09 Apr 2018 11:00, 28 Jun 2012 05:36,42.743,10.238,Active
1854,Italy - Messina (ISPRA),ISPRA,18m,,Details, 09 Apr 2018 11:23, 09 Apr 2018 11:02, 28 Jun 2012 05:36,38.196,15.564,Active
1857,Italy - Otranto (ISPRA),ISPRA,17m,,Details, 09 Apr 2018 11:24, 09 Apr 2018 11:03, 28 Jun 2012 05:36,40.147,18.497,Active
1859,Italy - Palinuro (ISPRA),ISPRA,17m,,Details, 09 Apr 2018 11:24, 09 Apr 2018 11:02, 28 Jun 2012 05:36,40.030,15.275,Active
1862,Italy - Porto Torres (ISPRA),ISPRA,18m,,Details, 09 Apr 2018 11:23, 09 Apr 2018 11:02, 28 Jun 2012 05:36,40.842,8.404,Active
